Author,Year,Title,Journal,Keywords,Abstract
"Aalangdong, O. I.;",2010,HUNTING AND TRADING IN BUSHMEAT IN NORTHERN GHANA,,"This Chapter reports the results of a study to examine how bushmeat is acquired and traded in Northern Ghana. Thirty selected towns and villages were surveyed in the three regions of Northern Ghana. Data were collected from hunters, bushmeat traders, consumers and elders. The results indicate that hunting is undertaken by men while bushmeat trading is by women. Hunters used various methods such as shotguns, bows and arrows, traps, and dogs both during the day and at night. The bushmeat traders bought the meat from hunters and either retailed or sold these in the markets to restaurant and chop bar operators. Many hunters and bushmeat traders did not have game licences, and hunting and trading continued even during the Annual Closed Season. Respondents admitted that many animal species are now locally extinct and many have drastically decreased in numbers due to hunting, and that wild animals can easily be sighted only in national parks and game reserves. It was noted that hunting is still a dominant profession in the north as bushmeat is an important source of protein for the rural poor. Therefore, the Wildlife Division of the Ghana Forestry Commission should show interest in establishing hunters and bushmeat traders associations in Ghana as a way to promote the sustainable management of wildlife. Local communities should be involved in the planning and management of wildlife resources through the establishment of community resource reserves and training.",<Go to ISI>://WOS:000281549100006
"Aalangdong, O. I.; Poreku, G.; Abdul-Razaq, U.; Anchiihe, A. A.;",2010,COMMUNITY INVOLVEMENT IN WILDLIFE CONSERVATION IN NORTHERN GHANA,,"This Chapter examines how communities in Northern Ghana have been involved in the conservation of wildlife. Respondents from 56 villages in the Northern and Upper West Regions were interviewed for this study. The results showed that before the arrival of the colonialists, the communities in Northern Ghana were responsible for the conservation of wildlife. At that time, the people used simple tools for hunting and had taboos against the killing or eating of some animals. They also used wildlife and wildlife products for various purposes including medicines, rituals, festivals, ceremonies and food. They protected the wildlife and even reserved land for their conservation. Sacred groves were established in every community and these were refuges for wildlife breeding. Later, the colonial and independent governments took over the management of wildlife in the country, and instituted laws and regulations for their protection. The role of communities in wildlife conservation diminished. The use of sophisticated weapons, together with increased illegal hunting and trade in bushmeat, resulted in the decrease and extermination of some wildlife species. The dependence on, and overexploitation of, bushmeat had created a bushmeat crisis. The activities of the communities have outstretched the protective measures initiated by the government. The government has now directed and initiated projects within the communities to conserve the wildlife and other natural resources. These initiatives are once again fostering community involvement in the conservation of wildlife, which is critical to the sustainable management of wildlife resources.",<Go to ISI>://WOS:000281549100009
"Acheson, James; Acheson, Julianna;",2009,Maine land: Private property and hunting commons,International Journal of the Commons,,Article: Maine land: Private property and hunting commons
"Adger, W. Neil; Luttrell, Cecilia;",2000,Property rights and the utilisation of wetlands,Ecological Economics,common property; Indonesia; Mangroves; Multiple use resources; Privatisation; Vietnam; Wetlands,"This paper argues that successful conservation of wetlands is fundamentally determined by the institutions and property rights associated with resource management decisions. Thus an understanding of property rights regimes, the constraints which they impose on users of wetlands resources, and the distribution of benefits of use among users and non-users are essential if the economic values of wetland ecosystems and functions are to be realised. We outline relevant theoretical perspectives on property rights and the sustainable utilisation of natural resources. We argue that wetland resources tend to have unique property rights regimes due to their ecological characteristics, namely their multiple-resource characteristics, the indivisible nature of these resources, and the seasonal and cyclical nature of different wetland resource components. Case studies of property rights regimes in Indonesia and Vietnam are presented. These show that wetland resources are often managed as common pool resources, and that state appropriation of resources or the imposition of private property rights can contribute to unsustainable utilisation or conversion of wetlands to other uses."
"Agrawal, Arun; Gupta, Krishna;",2005,Decentralization and Participation: The Governance of Common Pool Resources in Nepal’s Terai,World Development,environment; forests; Nepal; Protected areas; resource management; South Asia,"Summary Decentralization has emerged as an important instrument of environmental and development policy in the last two decades. Presumed benefits of environmental policy decentralization depend in significant measure on broad participation in the programs that governments create to decentralize decision making related to resource management. This paper uses data from protected areas in Nepal’s Terai to examine who participates in environmental decentralization programs. On the basis of our statistical analysis, we highlight the fact that the likelihood of participation in community-level user groups is greater for those who are economically and socially better-off. We also find that individuals who have greater access to and who visit government offices related to decentralization policies more often are also more likely to participate in user groups created by state officials. Finally, we find a negative correlation between education and levels of participation. Our study and analysis support the argument that for decentralization policies to be successful on equity issues, it is important to build institutional mechanisms that encourage poorer and more marginal households to access government officials, improve access to educational opportunities, and create incentives to promote more interactions between less powerful rural residents and government officials."
"Agrawal, Arun; Ostrom, Elinor;",2001,"Collective Action, Property Rights, and Decentralization in Resource Use in India and Nepal",Politics & Society,,"National governments in almost all developing countries have begun to decentralize policies and decision making related to development, public services, and the environment. Existing research on the subject has enhanced our understanding of the effects of decentralization and thereby has been an effective instrument in the advocacy of decentralization. But most analyses, especially where environmental resources are concerned, have been less attentive to the political coalitions that prompt decentralization and the role of property rights in facilitating the implementation of decentralized decision making. By comparing decentralization in four cases in South Asia—Forest Councils in Kumaon in India, Joint Forest Management in India, the Parks and People Program in Nepal's Terai, and Community Forestry legislation in Nepal—this article provides answers to two questions: When do governments decentralize environmental decision making? and Which types of property rights must be devolved if decentralized decision making is to be effective?"
"Aiyadurai, A.; Singh, N. J.; Milner-Gulland, E. J.;",2010,"Wildlife hunting by indigenous tribes: a case study from Arunachal Pradesh, north-east India",Oryx,Arunachal Pradesh; culture; Himalayas; hunting; indigenous; India; mammals; tribes; national-park; impact; conservation; forests; sustainability; meat,"Hunting is a serious threat to wildlife worldwide. The rainforest-rich Arunachal Pradesh state of India, a biodiversity hotspot, is an area severely affected by indigenous hunting. The state has several indigenous tribes who hunt for food, trade, culture and leisure. Using semi-structured interviews and questionnaires we surveyed 184 individuals in 51 villages across four tribes for information on species hunted and hunting practices. A total of 33 mammalian species are reportedly hunted, of which only 11 were reported by hunters during formal interviews. The other 22 species were observed during casual visits, festivals and informal discussions. Of the species hunted 20 are Endangered, Vulnerable or Near Threatened on the IUCN Red List. Villagers now travel longer distances to hunt than they did a decade ago, suggesting a decline in wildlife populations around villages. The extent of offtake of mammals was related to the altitude of the village and the use of guns. Villagers living at higher altitudes and with guns appeared to hunt more. We also documented the importance of ritualistic hunting by some tribes. Additional research is required to estimate offtake and consumption rates of wild meat. Increasing conservation awareness and community-based conservation projects may assist in controlling the severity and extent of this hunting problem."
"Akama, J. S.;",2007,Controversies surrounding the ban on wildlife hunting in Kenya An historical perspective,"Tourism and the Consumption of Wildlife: Hunting, Shooting and Sport Fishing",,
"Akani, G. C.; Dendi, D.; Luiselli, L.;",2015,Ebola virus effects on the bushmeat trade in West Africa,African Journal of Ecology,nigeria,
"Akani, G. C.; Petrozzi, F.; Ebere, N.; Dendi, D.; Phil-Eze, P.; Nioking, A.; Luiselli, L.;",2015,CORRELATES OF INDIGENOUS HUNTING TECHNIQUES WITH WILDLIFE TRADE IN BUSHMEAT MARKETS OF THE NIGER DELTA (NIGERIA),Vie Et Milieu-Life and Environment,hunting method; seasonality; bushmeat markets; guns; niger delta; equatorial-guinea,"The correlates of hunting techniques with wildlife trade were investigated by determining the cause of death of 3490 carcasses sold in markets of 10 communities of the Niger Delta (southern Nigeria), during the dry and wet seasons, in 2010-2012. Freshly landed wildlife carcasses were examined in the markets to determine the method of capture of each animal, and also interviews with selected hunters were made. Hunting strategies were grossly subdivided into 7 groups: shooting was the most important hunting technique in terms of amount of animals killed and traded in bushmeat markets, followed by wire snare and fence trapping. However, hunters adopted a special hunting technique for each traded species, and some species were never hunted by shooting or wire snares. Hunting success was higher in wet season in all the 10 study stations. Hunting expeditions were also more frequent by wet season at all sites, due to a much higher probability of finding animals to catch, and the consequent need of walking for less long periods."
